KODE KELURAHAN,WILAYAH KOTA,KECAMATAN,KELURAHAN,SASARAN,BELUM VAKSIN,DOSIS 1,DOSIS 2,TOTAL VAKSIN,TANGGAL
3172051003,JAKARTA UTARA,PADEMANGAN,ANCOL,20393,14442,5951,3258,9209,2021-06-20
3173041007,JAKARTA BARAT,TAMBORA,ANGKE,25785,19348,6437,3175,9612,2021-06-20
3175041005,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,25158,20675,4483,2577,7060,2021-06-20
3175031003,JAKARTA TIMUR,JATINEGARA,BALI MESTER,8683,6409,2274,1496,3770,2021-06-20
3175101006,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,22768,17106,5662,3935,9597,2021-06-20
3174031002,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,18930,14008,4922,2661,7583,2021-06-20
3175051002,JAKARTA TIMUR,PASAR REBO,BARU,20267,12944,7323,4624,11947,2021-06-20
3175041004,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,41389,33015,8374,5128,13502,2021-06-20
3171071002,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,19008,13065,5943,3517,9460,2021-06-20
3175031002,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,32331,25339,6992,3979,10971,2021-06-20
3174101002,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,45843,34449,11394,6984,18378,2021-06-20
3174011005,JAKARTA SELATAN,TEBET,BUKIT DURI,29934,22998,6936,3897,10833,2021-06-20
3171041006,JAKARTA PUSAT,SENEN,BUNGUR,15932,11358,4574,2691,7265,2021-06-20
3175061007,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,49369,38436,10933,3943,14876,2021-06-20
3175061004,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,50344,37636,12708,6269,18977,2021-06-20
3175041007,JAKARTA TIMUR,KRAMAT JATI,CAWANG,28708,22046,6662,4212,10874,2021-06-20
3175101008,JAKARTA TIMUR,CIPAYUNG,CEGER,16381,11957,4424,2525,6949,2021-06-20
3171031006,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,27330,20486,6844,3947,10791,2021-06-20
3171051002,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,30479,22751,7728,4908,12636,2021-06-20
3171051001,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,21553,14950,6603,4378,10981,2021-06-20
3173011001,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,57678,39701,17977,8135,26112,2021-06-20
3173011006,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,70122,52748,17374,8414,25788,2021-06-20
3175091002,JAKARTA TIMUR,CIRACAS,CIBUBUR,56927,42284,14643,9298,23941,2021-06-20
3171011002,JAKARTA PUSAT,GAMBIR,CIDENG,14203,9224,4979,3134,8113,2021-06-20
3174091003,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,33127,24578,8549,5102,13651,2021-06-20
3175051003,JAKARTA TIMUR,PASAR REBO,CIJANTUNG,36027,26320,9707,6069,15776,2021-06-20
3171061003,JAKARTA PUSAT,MENTENG,CIKINI,7402,5320,2082,1355,3437,2021-06-20
3174081006,JAKARTA SELATAN,PANCORAN,CIKOKO,9280,6553,2727,1708,4435,2021-06-20
3174061001,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,45348,31705,13643,7766,21409,2021-06-20
3174041003,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,21207,14354,6853,4726,11579,2021-06-20
3175101002,JAKARTA TIMUR,CIPAYUNG,CILANGKAP,23675,17393,6282,3752,10034,2021-06-20
3175041006,JAKARTA TIMUR,KRAMAT JATI,CILILITAN,35164,26762,8402,5136,13538,2021-06-20
3172041001,JAKARTA UTARA,CILINCING,CILINCING,37003,29490,7513,3854,11367,2021-06-20
3175101001,JAKARTA TIMUR,CIPAYUNG,CIPAYUNG,22697,15991,6706,4149,10855,2021-06-20
3174091006,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,32800,24423,8377,4723,13100,2021-06-20
3174061005,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,23463,17052,6411,3745,10156,2021-06-20
3174071010,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,29771,20382,9389,4033,13422,2021-06-20
3175021003,JAKARTA TIMUR,PULO GADUNG,CIPINANG,34608,25047,9561,5891,15452,2021-06-20
3175031007,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN,30655,24232,6423,3816,10239,2021-06-20
3175031008,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,38827,31887,6940,4124,11064,2021-06-20
3175031005,JAKARTA TIMUR,JATINEGARA,CIPINANG CEMPEDAK,29154,21645,7509,4632,12141,2021-06-20
3175081005,JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,37098,26895,10203,6292,16495,2021-06-20
3175031006,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,46861,36116,10745,7170,17915,2021-06-20
3174051003,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,34708,26846,7862,4696,12558,2021-06-20
3175091001,JAKARTA TIMUR,CIRACAS,CIRACAS,55965,40942,15023,8251,23274,2021-06-20
3175041003,JAKARTA TIMUR,KRAMAT JATI,DUKUH,21239,16167,5072,3417,8489,2021-06-20
3175071001,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,53078,39324,13754,9047,22801,2021-06-20
3174081004,JAKARTA SELATAN,PANCORAN,DUREN TIGA,24673,18457,6216,3762,9978,2021-06-20
3173051005,JAKARTA BARAT,KEBON JERUK,DURI KEPA,52942,36175,16767,9804,26571,2021-06-20
3173011002,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,66093,49083,17010,8072,25082,2021-06-20
3171011006,JAKARTA PUSAT,GAMBIR,DURI PULO,17787,13397,4390,2351,6741,2021-06-20
3173041011,JAKARTA BARAT,TAMBORA,DURI SELATAN,12528,8629,3899,2337,6236,2021-06-20
3173041003,JAKARTA BARAT,TAMBORA,DURI UTARA,17380,12763,4617,2614,7231,2021-06-20
3171081003,JAKARTA PUSAT,JOHAR BARU,GALUR,15811,10897,4914,1943,6857,2021-06-20
3171011001,JAKARTA PUSAT,GAMBIR,GAMBIR,2232,1369,863,571,1434,2021-06-20
3174061004,JAKARTA SELATAN,CILANDAK,GANDARIA SELATAN,19394,13783,5611,2802,8413,2021-06-20
